geo,month,measure,value,flag
AT,2024m11,THS_T,18.639999,
BE,2024m11,THS_T,19.68,
BG,2024m11,THS_T,.79000002,
CY,2024m11,THS_T,.54000002,
CZ,2024m11,THS_T,6.4499998,
DE,2024m11,THS_T,97.470001,
EE,2024m11,THS_T,.62,
EL,2024m11,THS_T,2.52,
ES,2024m11,THS_T,55.59,
FI,2024m11,THS_T,7.8899999,
FR,2024m11,THS_T,102.84,
HR,2024m11,THS_T,3.6099999,
HU,2024m11,THS_T,2.3399999,
IE,2024m11,THS_T,54.34,
IT,2024m11,THS_T,55.119999,
LT,2024m11,THS_T,3.8599999,
LU,2024m11,THS_T,.81999999,
LV,2024m11,THS_T,1.39,
MT,2024m11,THS_T,.1,
NL,2024m11,THS_T,35.130001,
PL,2024m11,THS_T,55.77,
PT,2024m11,THS_T,7.73,
RO,2024m11,THS_T,3.97,p
SE,2024m11,THS_T,12.91,
SI,2024m11,THS_T,3.72,
SK,2024m11,THS_T,.63999999,
DK,2024m11,THS_T,10.55,
AT,2024m12,THS_T,18,
BE,2024m12,THS_T,21.610001,
BG,2024m12,THS_T,.77999997,p
CY,2024m12,THS_T,.47999999,
CZ,2024m12,THS_T,5.6999998,
DE,2024m12,THS_T,79.010002,
EE,2024m12,THS_T,.55000001,
EL,2024m12,THS_T,2.72,
ES,2024m12,THS_T,57.220001,
FI,2024m12,THS_T,6.5900002,
FR,2024m12,THS_T,109.87,
HR,2024m12,THS_T,3.6600001,
HU,2024m12,THS_T,2.0699999,
IE,2024m12,THS_T,45.389999,
IT,2024m12,THS_T,59.669998,
LT,2024m12,THS_T,2.8599999,
LU,2024m12,THS_T,.76999998,
LV,2024m12,THS_T,.95999998,
MT,2024m12,THS_T,.13,
NL,2024m12,THS_T,36.080002,
PL,2024m12,THS_T,51.700001,
PT,2024m12,THS_T,8.04,
RO,2024m12,THS_T,3.3599999,p
SE,2024m12,THS_T,10.02,
SI,2024m12,THS_T,3.04,
SK,2024m12,THS_T,.50999999,
DK,2024m12,THS_T,8.5699997,
AT,2025m1,THS_T,16.51,
BE,2025m1,THS_T,20.42,
BG,2025m1,THS_T,.70999998,
CY,2025m1,THS_T,.54000002,
CZ,2025m1,THS_T,6.1500001,
DE,2025m1,THS_T,87.760002,
EE,2025m1,THS_T,.63,
EL,2025m1,THS_T,2.6800001,
ES,2025m1,THS_T,57.310001,
FI,2025m1,THS_T,7.6999998,
FR,2025m1,THS_T,108.85,
HR,2025m1,THS_T,3.29,
HU,2025m1,THS_T,2.45,
IE,2025m1,THS_T,52.189999,
IT,2025m1,THS_T,57.330002,b
LT,2025m1,THS_T,3.28,
LU,2025m1,THS_T,.86000001,
LV,2025m1,THS_T,1.25,
MT,2025m1,THS_T,.11,
NL,2025m1,THS_T,32.130001,
PL,2025m1,THS_T,58.509998,
PT,2025m1,THS_T,7.6999998,
RO,2025m1,THS_T,3.29,p
SE,2025m1,THS_T,11.04,
SI,2025m1,THS_T,2.3199999,
SK,2025m1,THS_T,.68000001,
DK,2025m1,THS_T,10.19,
AT,2025m2,THS_T,15.34,
BE,2025m2,THS_T,18.200001,
BG,2025m2,THS_T,.73000002,
CY,2025m2,THS_T,.47,
CZ,2025m2,THS_T,5.3400002,
DE,2025m2,THS_T,75.489998,
EE,2025m2,THS_T,.55000001,
EL,2025m2,THS_T,2.6199999,
ES,2025m2,THS_T,53.52,
FI,2025m2,THS_T,6.0700002,
FR,2025m2,THS_T,97.440002,
HR,2025m2,THS_T,3.25,
HU,2025m2,THS_T,2.1300001,
IE,2025m2,THS_T,49.91,
IT,2025m2,THS_T,49.720001,
LT,2025m2,THS_T,3.26,
LU,2025m2,THS_T,.75,
LV,2025m2,THS_T,1.02,
MT,2025m2,THS_T,.12,
NL,2025m2,THS_T,30.16,
PL,2025m2,THS_T,49.889999,
PT,2025m2,THS_T,6.9899998,
RO,2025m2,THS_T,3.1900001,p
SE,2025m2,THS_T,9.1999998,
SI,2025m2,THS_T,2.23,
SK,2025m2,THS_T,.52999997,
DK,2025m2,THS_T,8.4799995,
AT,2025m3,THS_T,17.34,
BE,2025m3,THS_T,19.75,
BG,2025m3,THS_T,.69,
CY,2025m3,THS_T,.43000001,
CZ,2025m3,THS_T,5.7399998,
DE,2025m3,THS_T,81.849998,
EE,2025m3,THS_T,.56,
EL,2025m3,THS_T,2.51,
ES,2025m3,THS_T,56.200001,
