geo,month,measure,value,flag
CZ,2024m8,THS_HD,17.58,
DE,2024m8,THS_HD,236.47,
EE,2024m8,THS_HD,2.3099999,
EL,2024m8,THS_HD,11.83,
ES,2024m8,THS_HD,208.7,
FI,2024m8,THS_HD,22.15,
FR,2024m8,THS_HD,304.48001,
HR,2024m8,THS_HD,13.5,
HU,2024m8,THS_HD,7.21,
IE,2024m8,THS_HD,151.03999,
IT,2024m8,THS_HD,215.67999,
LT,2024m8,THS_HD,11.12,
LU,2024m8,THS_HD,1.77,
LV,2024m8,THS_HD,5.5700002,
MT,2024m8,THS_HD,.28999999,
NL,2024m8,THS_HD,168.92,
PL,2024m8,THS_HD,171.48,
PT,2024m8,THS_HD,34.57,
RO,2024m8,THS_HD,12.03,p
SE,2024m8,THS_HD,35.84,
SI,2024m8,THS_HD,6.23,
SK,2024m8,THS_HD,1.75,
DK,2024m8,THS_HD,36.639999,
AT,2024m9,THS_HD,51.07,
BE,2024m9,THS_HD,68.809998,
BG,2024m9,THS_HD,2.6800001,
CY,2024m9,THS_HD,1.84,
CZ,2024m9,THS_HD,19,
DE,2024m9,THS_HD,253.3,
EE,2024m9,THS_HD,2.53,
EL,2024m9,THS_HD,11.46,
ES,2024m9,THS_HD,208.60001,
FI,2024m9,THS_HD,22.65,
FR,2024m9,THS_HD,337.92001,
HR,2024m9,THS_HD,14.1,
HU,2024m9,THS_HD,7.3400002,
IE,2024m9,THS_HD,170.16,
IT,2024m9,THS_HD,226.91,
LT,2024m9,THS_HD,12.32,
LU,2024m9,THS_HD,2.0999999,
LV,2024m9,THS_HD,5.5999999,
MT,2024m9,THS_HD,.34,
NL,2024m9,THS_HD,171.89999,
PL,2024m9,THS_HD,169.31,
PT,2024m9,THS_HD,33.52,
RO,2024m9,THS_HD,12.58,p
SE,2024m9,THS_HD,37.490002,
SI,2024m9,THS_HD,8.7200003,
SK,2024m9,THS_HD,2.0799999,
DK,2024m9,THS_HD,37.290001,
AT,2024m10,THS_HD,58.59,
BE,2024m10,THS_HD,72.230003,
BG,2024m10,THS_HD,3.7,
CY,2024m10,THS_HD,1.84,
CZ,2024m10,THS_HD,20.67,
DE,2024m10,THS_HD,277.69,
EE,2024m10,THS_HD,3.0899999,
EL,2024m10,THS_HD,11.2,
ES,2024m10,THS_HD,212.64999,
FI,2024m10,THS_HD,25.860001,
FR,2024m10,THS_HD,369.89999,
HR,2024m10,THS_HD,14.6,
HU,2024m10,THS_HD,7.6599998,
IE,2024m10,THS_HD,187.61,
IT,2024m10,THS_HD,234.47,
LT,2024m10,THS_HD,15.95,
