panel,x,y,persistence,taxable_share,incremental_pass_through,beta,beta_low,beta_high,pre_price_dkk_kg,damage_dkk_kg,announcement_dkk_kg,attribution_share,implementation_dkk_kg,remaining_gap_dkk_kg,conf_low,conf_high,sensitivity_low,sensitivity_high
2,0,.86,0,.5,.86,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.227220154021677,62.68663875207791,62.68663875207791,62.68663875207791,29.44446990961948,147.4411498925588
3,0,.9,0,.75,.9,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,5.065985125499144,60.84787378060044,60.84787378060044,60.84787378060044,27.60570493814201,145.6023849210814
2,0,.06,0,.5,.06,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.2251548944666286,65.68870401163296,65.68870401163296,65.68870401163296,32.44653516917453,150.4432151521139
3,0,.3,0,.75,.3,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.688661708499714,64.22519719759988,64.22519719759988,64.22519719759988,30.98302835514144,148.9797083380808
4,0,.7,0,1,.7,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,5.253614204221334,60.66024470187826,60.66024470187826,60.66024470187826,27.41807585941982,145.4147558423592
4,0,.24,0,1,.24,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.801239155733029,64.11261975036656,64.11261975036656,64.11261975036656,30.87045090790813,148.8671308908475
1,0,.38,0,.25,.38,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.7129904991443239,65.20086840695527,65.20086840695527,65.20086840695527,31.95869956449683,149.9553795474362
2,0,.84,0,.5,.84,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.1521685225328,62.76169038356679,62.76169038356679,62.76169038356679,29.51952154110836,147.5162015240477
3,0,.1,0,.75,.1,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.5628872361665715,65.35097166993302,65.35097166993302,65.35097166993302,32.10880282747458,150.1054828104139
4,0,.68,0,1,.68,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,5.103510941243582,60.81034796485601,60.81034796485601,60.81034796485601,27.56817912239758,145.5648591053369
